Method,Batch,Mean Hypervolume,Std Hypervolume
random,0,3.6542075207364504,9.649211901904172
random,1,9.112317501035836,12.6639235719187
random,2,11.528329704149465,14.000594731379246
random,3,11.743062258204553,14.115568639748126
random,4,16.752094289849875,14.219422254746531
random,5,20.725197715785196,10.969955940355252
random,6,20.725197715785196,10.969955940355252
random,7,22.040972522088655,9.610390626341301
random,8,22.18857187132676,9.825679359085083
random,9,24.31971019574117,7.831545890081545
random,10,24.31971019574117,7.831545890081545
qparego,0,3.6542075207364504,9.649211901904172
qparego,1,12.81510428731772,11.357601628832668
qparego,2,27.329515122894815,10.53343579731628
qparego,3,37.974334682493605,11.657280265787348
qparego,4,45.63106400635663,5.163202458143007
qparego,5,49.18267783974328,2.6364769848189047
qparego,6,50.33525095112739,2.4739543527874135
qparego,7,51.58645427220436,2.3773091561657873
qparego,8,52.99939989630184,1.8301451545246676
qparego,9,53.48618231795471,1.75319933923407
qparego,10,53.93656563292901,1.4816434096827398
qehvi,0,3.6542075207364504,9.649211901904172
qehvi,1,10.601868622853681,10.598960430389212
qehvi,2,31.858923488461215,11.401793991813603
qehvi,3,39.11469254116783,12.366679970736804
qehvi,4,45.311071283081354,8.374090585026748
qehvi,5,46.81499418062321,8.266706359597286
qehvi,6,47.80314118295615,8.535476571737544
qehvi,7,48.930216023883816,8.695096523301896
qehvi,8,50.92443467598385,6.01575223650999
qehvi,9,52.20436730650913,4.381558245477199
qehvi,10,53.031207955182126,3.8565330451694217
qnehvi,0,3.6542075207364504,9.649211901904172
qnehvi,1,10.159741294858872,10.69036171007988
qnehvi,2,30.273081174406627,9.02176622021166
qnehvi,3,42.8968786769349,7.706288109732284
qnehvi,4,46.25690805391825,6.248355097312166
qnehvi,5,50.14895746293898,3.958099420081822
qnehvi,6,52.70717491972139,3.483230436274183
qnehvi,7,53.80574943920344,2.517649055720239
qnehvi,8,54.65355521477179,2.312533574425545
qnehvi,9,54.910221164842405,2.396186435009474
qnehvi,10,55.22703413414666,2.4807490161863752
